ID,World_X,World_Y,World_Z,Roll,Pitch,Yaw,Size_CM,Description,Created_Date
0,5.0,-5.0,0.0,1.57,0.0,3.14,10.0,,2025-07-19 11:05:07
1,5.0,5.0,0.0,1.57,0.0,0.0,10.0,,2025-07-23 15:59:39
